～おき,～置き,隔，每隔
ひょうしき,標識,标识，标志，标记
びょうしつ,病室,病房，病室
びょうしゃ,描写,描写，描绘，描画，描述
ひょうじゅん,標準,标准，基准，水准，规范
ひょうじゅんご,標準語,标准语，标准话，普通话，国语
ひょうじょう,表情,表情，神情
びょうどう,平等,平等，同等
ひょうばん,評判,（社会一般的）评论，评价，批评，名声；出身，有身价；风闻，传闻
ひょうほん,標本,标本，样本；典型
ひょうめい,表明,表明，表示
ひょうめん,表面,表面
ひょうろん,評論,评论，批评
ひようをまかなう,費用を賄う,筹措费用
ひょっと,,不经意，突然，万一
びら,,传单；广告，招贴
ひらがな,平仮名,平假名
ひらく,開く,开，打开，开始；举行，开设，开张；加大；开（荒），开垦，开辟，打开；开方
ひらたい,平たい,平的，平坦，扁的，扁平；易懂的
ひらめく,,（閃く）闪耀，闪烁；（旗子等）飘动；闪现
びり,,最后（一名），末尾，倒数第一
ひりつ,比率,比率，比例
ビリヤード,billiards,（ビリヤッド？）台球，撞球
ひりょう,肥料,肥料
びりょう,微量,微量，少量
ひる,昼,白天，白昼，昼间；中午，正午，午饭
ビル,buiding,大厦，大楼
ひるごはん,昼御飯,午餐
ビルディング,buiding,大厦，大楼
ひるね,昼寝,午睡，午觉，晌觉
ひるま,昼間,白天，白日，昼间
ひるむ,怯む,畏怯，畏惧，畏缩，害怕，吓倒
ひるめし,昼飯,午饭，中饭，晌饭
ひるやすみ,昼休み,午休
ひれい,比例,比例，相称，成比例关系
ひろい,広い,宽敞，宽广的；宽阔的，广阔，辽阔的，广大；渊博的；（心胸）宽敞的
ひろう,披露,披露，宣布，公布，发表出来
ひろう,疲労,疲劳，疲乏，疲倦，疲惫
ひろう,拾う,拾，捡；挑出，选出，拣选
ひろがる,広がる,变宽，拓宽；舒展；扩展，扩大
ひろげる,広げる,开，打开，伸展，展开；扩展，展宽；翻开，摊开，乱撇
ひろさ,広さ,宽度，宽窄，幅度，面积
ひろしま,広島,广岛县，位于日本中国地区中部、濑户内海一侧；广岛市，位于广岛县西南部，濒临广岛湾，政令指定都市，县府所在地，中国地区的中心；广岛町，位于日本北海道，西北邻札幌市
ひろば,広場,广场
ひろばにでる,広場に出る,来到广场
ひろびろ,広々,非常宽广的
ひろまる,広まる,变宽大，扩大；传播（出去），遍及，蔓延，流行起来
ひろめる,広める,扩大，增广；普及，推广；弘布，宣传
ひをおこす,火をおこす,升火（生火），点火
ひん,品,品格，品性，品质，风度
びん,便,信，书信；邮寄的（班次），邮递，邮班；方便，机会；班机
びん,瓶,瓶子
ピン,pin,别针，扣针，发针，（机）栓，轴针；开始，第一
びんかん,敏感,敏感，感觉敏锐，灵敏
ピンク,pink,桃红色，粉红色，桃色，黄色，色情
ひんけつ,貧血,贫血
ひんこん,貧困,贫困，贫穷；贫乏，极度缺乏。（非常）缺乏
ひんし,瀕死,濒死
ひんし,品詞,词类，品词
ひんしつ,品質,质量，品质
ひんじゃく,貧弱,贫乏，欠缺，贫弱，逊色，瘦弱
ひんしゅ,品種,种类，品种
びんせん,便箋,信笺，信纸
びんそく,敏速,敏捷，灵敏，利落
びんづめ,瓶詰め,装瓶，瓶装
ヒント,hint,暗示，启发，启示，提示
ぴんとくる,ピンとくる,（对方的话、态度）打动心弦，（马上）领会，明白
ひんぱん,頻繁,频繁，屡次
びんぼう,貧乏,穷，贫穷，贫困，贫苦
ぶ,部,部，部分，部类，部门；部，本，册；事物，场所的某一部分
ぶ,分,程度，（优劣的）形势；（一寸，一成的）十分之一，一成；厚薄
ぶあいそう,無愛想,简慢，不和气，冷淡，没有表情
ファイト,fight,战斗，搏斗，斗争，战斗精神，斗志，打斗
ファイル,file,文件夹，讲义夹，合订本，汇订的文件，资料夹
ファクシミリ,facsimile,传真机，传真
ファスナー,fastener,拉锁，拉链
ファン,fan,扇，风扇，电扇，送风机，鼓风机；爱好者，热烈爱好者，迷（运动，电影等的爱好者），爱好者
ふあん,不安,不安，不放心，担心
ふい,不意,冷不防，忽然，突然，抽冷子，意料之外，想不到
ふいに,不意に,突然，预想不到
フィリピン,Philippines,菲律宾
フィルター,filter,（フィルタ）过滤，滤器，滤净器，滤纸
フィルム,film,底片，胶卷；薄膜；电影，影片
ふう,封,封，封口，封上，封条
ふうう,風雨,风雨；暴风雨
ふうけい,風景,风景，景色，景致，风光；情景，状况
ふうさ,封鎖,封锁，冻结
ふうしゃ,風車,风车
ふうしゅう,風習,风俗习惯，习惯，风俗，风习
ふうせん,風船,气球，轻气球，纸气球
ふうぞく,風俗,风俗
ブーツ,boots,长筒皮靴，靴子
ふうど,風土,风土，水土
ふうとう,封筒,信封，封皮，封套
ふうどにてきする,風土に適する,适合于风土
ふうふ,夫婦,夫妇，夫妻
ふうぶつ,風物,风景，风物；应季的东西
ふうみ,風味,风味，味道，风道
ブーム,boom,高潮，热潮，流行，时兴，风潮
プール,pool,游泳池，料场，堆放场，停车场
ふうん,不運,不幸，背运，倒霉，晦气
ふえ,笛,笛子，横笛，哨子
フェア,fair,商品博览会，展销会；公平（的）；正大光明（的），光明正大（的）；（棒球等）线内球；合规
フェスティバル,festival,节目，祭祀日，喜庆日，庆祝活动
ふえつづける,増え続ける,继续增加
フェリー,ferry boat,渡口；货柜船的简称
ふえる,増える,增加，增多
ふえる,殖える,增加，增多
フォーク,fork,叉子，肉叉，餐叉
フォーム,form,形式，样式，型，姿势，格式，样子
ふか,不可,不好；（考试）成绩不及格；不可，不行
ぶか,部下,部下，部属，属下
ふかい,不快,不快，不愉快，不高兴，不痛快；病，患病，不舒服
ふかい,深い,深的；很甚的，深远的，深刻的，深长的，浓厚的，茂密
ふかけつ,不可欠,必须，不可缺少
ぶかっこう,不格好,样式不好，不好看，不精致，笨拙，不漂亮
ふかのう,不可能,不可能，办不到，做不到
ぶかぶか,,身上所穿之物过大的样子
ふかまる,深まる,加深，变深，深起来
ふかめる,深める,加深，加强
ぶき,武器,武器
ふきあげる,噴き上げる,喷起
ふきげん,不機嫌,不高兴，不快活，不痛快，不开心，闹情绪
ふきそく,不規則,不规则，无规律，不整齐，零乱
ふきだす,噴き出す,刮起来，吹起来，开始吹，冒出
ふきつ,不吉,不吉利，不吉（祥）
ふきつける,吹き付ける,狂吹，刮到～上，喷上
ぶきみ,不気味,（不由得）令人害怕，毛骨悚然，可怕，阴森
ぶきみ,無気味,（不由得）令人害怕，毛骨悚然，可怕，阴森
ふきゅう,普及,普及
ふきょう,不況,不景气，萧条
ぶきよう,不器用,笨，拙笨，不熟练，不灵巧，不精巧
ふきん,布巾,搌布，抹布，擦碗布
ふきん,付近,附近，一带
ふく,吹く,吹；刮；吹牛，说大话；喷（出），冒出
ふく,服,包，服，付，回；衣服；西服
ふく,福,福，幸福，幸运
ふく,拭く,擦，抹，揩，拭
ふくおか,福岡,福冈，位于九州岛北部，是日本城市和港口，现为地区的工商、行政和文化中心
ふくごう,複合,复合，合成
ふくざつ,複雑,复杂
ふくし,福祉,福利，福祉
ふくし,副詞,副词
ふくしゃ,複写,抄写，誊写，复写，拷贝
ふくしゅう,復習,复习
ふくすう,複数,复数
ふくそう,服装,服装，服饰，衣着，穿着
ふくむ,含む,含，带有，含有，包括；了解，记在心里，怀不满，怀恨；带，含
ふくめる,含める,包含，包括，嘱咐，告知
ふくめん,覆面,蒙面，蒙上脸，面具，蒙面布，面罩，在脸上戴面罩
ふくらます,膨らます,使鼓起来，吹鼓
ふくらむ,膨らむ,鼓起，膨胀，凸起
ふくれる,膨れる,胀，鼓出，肿，噘嘴
ふくろ,袋,袋，口袋，纸袋，布袋
ふけいき,不景気,不景气，萧条；忧郁，没精神
ふけつ,不潔,不清洁，不洁净，不干净，肮脏
ふける,耽る,（耽ける）耽于，沉湎，入迷，沉溺，过于热衷，沉迷，埋头于，专心致志
ふける,更ける,（秋）深，（夜）深，阑
ふける,老ける,上年纪，老
ふこう,不幸,不幸，厄运，倒霉，死亡
ふごう,符号,符号，记号
ふごう,富豪,富豪，大财主，百万富翁
ふこうへい,不公平,不公平，不公正，不公道
ふこく,布告,公布，宣布，宣告；公告，布告
ブザー,buzzer,蜂鸣器，信号器，蜂音器
ふさい,夫妻,夫妻，夫妇，两口子
ふさい,負債,负债，欠债，拉饥荒
ふざい,不在,不在，不在家
ふさがる,塞がる,关，合，闭；塞，堵；占用，占满
ふさぐ,塞ぐ,堵，塞，堵塞；关，闭，盖；占；挡；郁闷，不痛快，不畅快
ふざける,,开玩笑，戏谑，（小孩）疯吵，欢闹；愚弄（人），戏弄（人）；（男女）调戏，调情
ぶさた,無沙汰,久未通信，久疏问候，少见，久违
ふさわしい,相応しい,适合的，相称的
ふし,節,节，节子，关节，骨节，段；地点，点；时候；曲调；段落
ぶし,武士,武士
ぶじ,無事,平安，无变故，太平无事；健康；没有工作，无事故
ふしぎ,不思議,怪，奇，奇怪，奇异，难以想象
ふじさん,富士山,富士山
ふしぜん,不自然,不自然，做作，勉强
ふしまつ,不始末,不经心，不注意，不在意；（行为）不规矩，不检点
ぶしゅ,部首,部首
ふじゆう,不自由,不自由，不随便，不如意，不充裕，不好使
ふじゅん,不純,不纯
ふじゅん,不順,不顺，不调，异常，不合理，不正常
ふしょう,負傷,负伤，受伤，挂彩，挂花
ぶしょう,不精,懒，懒散，不想动（笔），懒惰
ふしょく,腐蝕,腐蚀，侵蚀
ぶじょく,侮辱,侮辱，凌辱
ふしん,不審,疑惑，怀疑，可疑，有疑问的，不明白（的地方）
ふじん,夫人,夫人
ふじん,婦人,妇女，女子
ふしんかん,不信感,不相信，不信任，怀疑
ふす,伏す,趴下，趴着；伏卧，躺，仰卧；伏，藏，潜伏
ふすま,襖,隔扇
ふせい,不正,不正当，不正经，不正派，非法，不正；坏行为
ふせぐ,防ぐ,防御，防守，防卫，守卫；预防，防止
ふせる,伏せる,扣，翻，倒，叩，向下，朝下，弄倒；隐藏，隐瞒，埋下（秘密）
ふせんめい,不鮮明,不鲜明，不清楚，模糊
ぶそう,武装,武装，军事装备
ふそく,不足,不够，不足，短缺，缺乏，不充分，不满意
ふぞく,付属,附属
ふた,蓋,盖儿，盖子
ふだ,札,牌子，条儿，签，告示牌
ぶた,豚,猪；拘留所
ぶたい,舞台,舞台，大显身手的地方，表演，演出
ぶたいにあがる,舞台に上がる,走上舞台
ふたご,双子,双生子，孪生，双胞胎
ふたたび,再び,再，又，再次，又一次，重
ふたつ,二つ,两个
ぶたにく,豚肉,猪肉
ふたり,二人,二人，两个人，一对
ふたん,負担,承担，负担，背（东西）
ふだん,不断,不断（地）；平素，平常；不果断，（犹豫）不决
ふだん,普段,平时，平素
ふだんぎ,普段着,日常穿的衣服，便服
ふち,淵,渊，潭，深水处，深渊
ふち,縁,边，缘，框，檐
ふちゅうい,不注意,不注意，不小心，疏忽，粗心大意
ふちょう,不調,（谈判等）决裂，破裂，失败，不成功，谈不拢；失常，失调
ぶちょう,部長,部长，处长，系主任
ぶつ,打つ,打，击；演说，进行（演说）
ふつう,不通,不通，断绝，断绝关系，不来往；没有音信
ふつう,普通,普通，通常，一般，寻常
ふつか,二日,两天，二号，二日
ぶっか,物価,物价，行市
ふっかつ,復活,复活，苏生，恢复，复兴
ぶつかる,,碰，撞，遇，（偶然）遇上，碰上；正当，适逢
ぶつぎ,物議,物议，群众的批评
ふっきゅう,復旧,恢复原状，修复
ぶつける,,（往上）扔，投，掷，打；碰，撞（往上）
ふっこう,復興,复兴，重建
ぶっし,物資,物资
ぶっしつ,物質,物质，物体，实体
ぶっそう,物騒,骚然不安，不安定，危险的
ぶつぞう,仏像,佛像
ぶったい,物体,物体，东西
ふっとう,沸騰,沸腾；群情激昂，情绪高涨，热烈，提高
ふつにそなえる,仏に供える,供奉神佛
ぶつぶつ,物々,小声嘟哝，牢骚，颗粒状物
ぶつり,物理,事物的道理，物理（学）
ふで,筆,笔，毛笔；文章；写，画；笔，一笔
ふと,,忽然，偶然，马上
ふとい,太い,粗的，顸，大，胖的；无耻的，厚脸皮的
ふとう,不当,不正当，不当，不合理，非法，不合道理
ぶどう,葡萄,葡萄
ふどうさん,不動産,不动产
ふとる,太る,胖，发福，肥，发财
ふとん,布団,被褥，铺盖
ふなびん,船便,通航；船运
ぶなん,無難,没有缺点，无可非议，说得过去，无可非难；平安，安全，无灾无难
ふにん,赴任,赴任，上任
ふね,船,船，舟，槽，盆
ふね,舟,船，舟，槽，盆
ふはい,腐敗,腐坏，腐朽，腐烂；腐败
ふひょう,不評,声誉不佳，名誉坏，评价低，不受欢迎
ぶひん,部品,零部件，零件，部件
ぶひんをくみたてる,部品を組み立てる,组装零部件
ぶひんをちゅもんする,部品を注文する,订零部件
ぶひんをはこぶ,部品を運ぶ,搬运零部件
ふぶき,吹雪,暴风雪
ふふく,不服,不服，不服从，异议，抗议，不满意
ぶぶん,部分,部分
ふへい,不平,不平，不满意，牢骚
ふへん,普遍,普遍
ふべん,不便,不便，不方便，不便利
ふへんてき,普遍的,普遍的
ふぼ,父母,父母，双亲
ふほんい,不本意,非本意，不是甘心情愿，不得已，非情愿
ふまえる,踏まえる,踏，踩，脚踏，用力踏，立足于～；依据，根据
ふまじめ,不真面目,不认真，不诚实，不正经
ふまん,不満,不满，不满足，不满意
ふまんをもらす,不満を漏らす,流露不满
ふみきり,踏み切り,（踏切）道口，铁路道口，交叉口；（田径的）起跳，起跳点，脚踩出圈外
ふみこむ,踏み込む,陷入，跨进，踩进，踩陷进去；突然进去，闯进；深入
ふむ,踏む,踏，踩，践踏，踏入，跺脚；经历；估价；押（韵）
ふめい,不明,不明，不详，不清楚，无能
ふもと,麓,山脚，山麓
ぶもん,部門,部门，部类，方面
ふやす,増やす,增加，增殖，繁殖，添
ふやす,殖やす,增加，增殖，繁殖，添
ふゆ,冬,冬季，冬天
ふゆかい,不愉快,不愉快，不痛快，不高兴
ふゆこだち,冬木立,（冬季）光秃秃的树木
ふよう,扶養,扶养
フライパン,frypan,长柄平锅，扁锅，平底炒菜锅，煎锅，（长柄）平底锅
ブラウス,blouse,（妇女用）罩衫，衬衫，女衬衫
ぶらさげる,ぶら下げる,悬挂
ブラシ,brush,刷子，电刷，碳刷，画刷
ブラジル,Brazil,巴西
プラス,plus,加；加号，阳性；正数；黑字，盈余，益处，有利之处，利益，好处，有利；正电
プラスチック,plastic,塑料，塑料制品，塑胶，可塑物
プラットホーム,platform,（车站的）月台，站台，平台
ふらふら,,溜达，晃晃悠悠，迷迷糊糊，犹犹豫豫，蹒跚，摇晃，晃荡，信步而行，蹓跶
ぶらぶら,,摇晃，溜达，闲赋
プラン,plan,计划，方案，设计图，平面图；方式
フランス,France,（国名）法国，法兰西
ふり,不利,不利
ふり,振り,振动，摆动；样子，打扮；动作；假装～样；（接名词，动词连用形）表示状态，情况；表示时间的经过
フリー,free,自由，免费
フリーな,free,自由，免费
ふりかえる,振り返る,回头看，回过头去，向后（看）；回顾（过去）
ふりかける,降りかける,（振り掛ける）撒上
ふりがな,振り仮名,注音假名
ふりしぼる,振り絞る,竭尽全力，扯着嗓子喊
ふりだし,振り出し,出发点，开始，开端，最初；开汇票
ふりだす,振り出す,摇出，晃出，发出，开出
ふりまわす,振り回す,挥舞，抡起，滥用，随便使用
ふりむく,振り向く,回头，回顾；理睬，顾
ふりょう,不良,不好，坏，不良，次；品质不良的人，流氓
ふりょうひん,不良品,不合格品，废品
ふりょく,浮力,浮力
ぶりょく,武力,武力，兵力
プリント,print,印刷，印刷品，油印，油印品，印刷（物），打印；印花，印染；正片，照片
ふる,降る,下，降（下）
ふる,振る,挥，摇，摆；撒；丧失，牺牲；拒绝，甩；开（汇票，票据）；分派
ふるい,古い,已往，年久，古老，陈旧，旧的，老的，落后的；过去的事
ふるい,旧い,旧，老，以往，古老，年久
ブルー,blue,青，蓝色，天蓝色，青色，忧郁
ふるえる,震える,颤动，发抖，哆嗦，震动，打颤
ふるさと,古里,故乡，老家
ふるさと,故郷,故乡，老家
ふるまう,振る舞う,行动，动作；请，请客，款待
ふるまう,振舞う,行动，动作；请，请客，款待
ふるわせる,震わせる,震动，震撼
ぶれい,無礼,没有礼貌，不恭敬，失礼
ブレーキ,brake,制动器，车闸，刹车（器），阻碍，制动装置
ブレザー,blazer,西服上衣
プレゼント,present,赠品，礼物，送礼，送
ぷれぜんとをもらう,プレゼントをもらう,得到礼物
ふれる,触れる,触，碰；触及，接触，涉及；觉察；遇机，遇事；感触；通知
ふろ,風呂,洗澡用热水，澡盆，澡堂，浴池，洗澡盘
プロ,production,制作公司
プロ,professional,专业（的），职业，职业的，内行（人）
ブローチ,broach,胸针，别针，饰物针
ふろく,付録,附录，副刊
プログラム,program,（programme）节目，节目单，说明书，演奏节目；纲领，计划（表）；程序表，预定表
ふろしき,風呂敷,包袱，包袱皮
ふろにはいる,風呂に入る,洗澡
ふろや,風呂屋,浴池，澡堂
フロント,front,正面，前面；（总）服务台，（饭店等）一楼服务台
ふわふわ,,轻飘飘
ぶん,分,部分，份（儿），分；本分；身分，地位；分开；程度，情况，状态
ぶん,文,文章，作文，论文，文学；（文武的）文
ふんいき,雰囲気,气氛，空气
ふんか,噴火,喷火
ぶんか,文化,文化
ふんがい,憤慨,气愤，愤慨
ぶんかい,分解,拆开，拆卸；分解；分析，分为
ぶんがく,文学,文学
ぶんかざい,文化財,文物，文化遗产
ふんき,奮起,奋起，振奋，奋发
ぶんぎょう,分業,分工
ぶんげい,文芸,文艺，学问和技艺
ぶんけん,文献,文献，文件，参考资料
ぶんご,文語,文言，书面语，文语
ぶんさん,分散,分散，散开，色散，频散
ぶんし,分子,分子；份子
ふんしつ,紛失,遗失，丢失，失落
ふんしゅつ,噴出,喷出，射出
ぶんしょ,文書,文书，公文，文件，公函
ぶんしょう,文章,文章，散文
ぶんじょう,分譲,（住房、土地等）分开出售，分售
ふんすい,噴水,喷泉，喷水池，喷水
ぶんすう,分数,分数
ぶんせき,分析,分析，剖析；分解，化验
ふんそう,紛争,纠纷，争端，纷争
ぶんたい,文体,文体，风格
ふんだん,,很多，大量，非常多，多多的
ぶんたん,分担,分担
ふんだんに,,很多，大量
ふんとう,奮闘,奋战，奋斗
ぶんぱい,分配,分配，配给，分给
ぶんぷ,分布,分布
ふんべつ,分別,辨别（力），判断力，思考力
ぶんぼ,分母,分母
ぶんぽう,文法,文法，语法，语法理论，语法学说
ぶんぼうぐ,文房具,文具
ふんまつ,粉末,粉末
ぶんみゃく,文脈,上下文的连贯性，前后文的逻辑性，文章的前后关系，文理，文思
ぶんめい,文明,文明，物质文化
ぶんや,分野,领域，范围，战线，方面
ぶんり,分離,分离，分开，脱离，隔离
ぶんりょう,分量,分量，数量，重量
ぶんるい,分類,分类，分门别类
ぶんれつ,分裂,分裂，裂开
へ,,方向，去处；授予的对象
ペア,pair,偶，一双，一对，一对男女
へい,塀,围墙，院墙，墙，墙壁
へいおん,平穏,平稳，平静，顺利，太平无事
へいかい,閉会,闭会
へいがい,弊害,弊病，恶劣影响，毛病
へいき,兵器,兵器，武器，军火
へいき,平気,冷静，镇静；无动于衷，不在乎，不介意
へいきん,平均,平均，平均值，平衡，均衡，铺平
へいこう,閉口,闭口无言，为难，受不了，吃不消
へいこう,並行,并行，并进；同时举行，同时进行
へいこう,平行,平行，并行
へいさ,閉鎖,封闭，关闭，闭锁
へいし,兵士,战士，士兵
へいじつ,平日,平常，平素，平时；平日
へいじょう,平常,平常，平素，平时，素日
へいせい,平静,平静，安静，冷静，镇静，沉着
へいぜん,平然,沉着，冷静，镇静，泰然，坦然，不在乎
へいそ,平素,平素，平常，平时，素日
へいたい,兵隊,士兵，军人，军队，兵士
へいほう,平方,平方，自乘，见方
へいぼん,平凡,平凡，庸碌，通俗
へいや,平野,平原，平野
へいれつ,並列,并列，并排，并联
へいわ,平和,和平，和睦，平安
ページ,page,页，页数
ベース,base,基本，根基，基础，基准，垒
へきえき,辟易,退缩，畏缩，吓缩，屈服
ペキン,北京,北京
ぺこぺこ,,饿，空；点头哈腰，谄媚
へこむ,凹む,凹下，洼下，陷下，瘪，瘪下；屈服
ベスト,best,最佳，最好，全力
ベスト,vest,背心
ベストセラー,best-seller,畅销书
へそ,,脐，肚脐（同ほぞ）；状似肚脐的小坑
へた,下手,（技术等）笨拙，拙劣，拙笨，不高明；马虎，不谨慎，不慎重，不小心
へだたる,隔たる,相隔，离，距，不同，隔离，有距离
へだてる,隔てる,隔，隔开，分开，间隔，遮挡；离间
べつ,別,按～；分别，区别，差别；别，另外，除外，例外，特别
べっきょ,別居,分居，分开居住
べっそう,別荘,别墅
ベッド,bed,床
ペット,pet,宠物，心爱物，玩赏动物，宠儿
べつに,別に,特别
べつびん,別便,另寄的邮件，另函，另行发出的邮件
べつべつ,別々,（別別）分别，各别，各自
べつべつに,別々に,分别，各自
へつらう,諂う,奉承，阿谀，逢迎，谄媚
ベテラン,veteran,老手，老把式，老练的人，老资格
への,,给～的（助词并列）
へび,蛇,蛇，长虫
へや,部屋,房间，屋子，～室，～间
へやにでんきがついている,部屋に電気がついている,房间里灯亮着
へやをかたづける,部屋を片付ける,收拾房间
へやをそうじする,部屋を掃除する,打扫房间
へらす,減らす,减，减少，缩减，削减，精简，裁减
へり,縁,缘，边儿，檐，包边
へりくだる,謙る,谦恭，谦逊，自谦
ヘリコプター,helicopter,直升机，直升飞机
へる,減る,减，减少，磨损，饿（腹が～）
へる,経る,（时间）过；经过，通过，路过，经由
ベル,bell,铃，门铃，电铃
べるがなる,ベルが鳴る,铃响了
ベルト,belt,腰带，皮带，传动带，轮带，（皮）带
へん,変,变，变化；事件，事变，意外；怪，奇怪
へん,辺,一带，附近；程度，大致；边
べん,弁,花瓣，（果实的）裂片，（心口的）瓣膜；（机器的）活门，活阀；口才，辩才；口音，腔调
べん,便,方便，便利（交通の～）；大小便
ペン,pen,笔，钢笔，自来水笔，笔杆子
へんか,変化,变化，变更，改变
べんかい,弁解,辩解，分辩，辩明，辩白
へんかく,変革,变革，改革，变化
へんかん,返還,归还，返还
べんぎ,便宜,方便，便利，权宜
ペンキ,pek,（荷）油漆，涂料
へんきゃく,返却,还，归还，退还
べんきょう,勉強,学习，用功，读书，知识，努力；贱卖
べんぎをはかる,便宜を図る,提供方便
へんけん,偏見,偏见，僻见，偏执
べんご,弁護,辩护，辩解
へんこう,変更,变更，更改，更动，改变
へんさい,返済,还，偿还，还债，归还
へんじ,返事,答应，回答，回话，回信，答复
へんしゅう,編集,编辑
べんじょ,便所,厕所，茅房，便所
べんしょう,弁償,赔，赔偿
へんせん,変遷,变迁
ベンチ,bench,长凳，长椅，条凳，教练，长椅子
ペンチ,pinchers,（pinchers之讹）钳子，手钳子，（剪铁丝的）铁钳
へんとう,返答,回答，回话，答复
へんどう,変動,变动，波动，改变，变化
べんとう,弁当,盒装饭菜，盒饭，装在盒中的简单饭菜
べんり,便利,便利，方便，便当
べんろん,弁論,辩论，辩护，申辩，申述
ぺんをとる,ペンを取る,执笔
ほ,穂,穗，尖端
ほいく,保育,保育
ボイコット,boycott,排货，联合抵制，拒绝购买，联合起来拒绝购买，排斥
ポイント,point,点，句点，小数点，要点，（重）点；分，（比赛等的）得分；（铁路的）辙尖，道岔；（活字大小单位）点，磅
ほう,法,法，法律；佛法；礼节；方法
ほう,方,方，方向，方形，平方；这一方面（～より～の方が）
ぼう,棒,棍子，棒子，杠子，扁担，杆子
ほうあん,法案,法案，法律草案
ぼうえい,防衛,防卫，保卫，捍卫，防守
ぼうえき,貿易,贸易
ぼうえんきょう,望遠鏡,望远镜
ぼうか,防火,防火
ほうかい,崩壊,崩溃，蜕变，衰变
ぼうがい,妨害,妨碍，干扰，妨害
ほうがく,法学,法学，法律学
ほうがく,方角,方向，方位；估计
ほうき,放棄,放弃
ほうき,箒,帚，笤帚，扫帚
ほうける,惚ける,精神恍惚，懵懂，昏聩，着迷
ほうけん,封建,封建
ほうげん,方言,方言，地方话，土话
ぼうけん,冒険,冒险
ほうこう,方向,方向；方针
ほうこく,報告,报告，汇报
ほうさく,方策,方策，方略，对策，计策
ほうさく,豊作,丰收
ぼうさん,坊さん,和尚
ほうし,奉仕,服务，效劳，效力，廉价售货
ぼうし,防止,防止
ぼうし,帽子,帽子
ほうしき,方式,方式，手续，方法
ほうしゃ,放射,放射，辐射
ほうしゃのう,放射能,放射能
ほうしゅう,報酬,报酬，收益
ほうしゅつ,放出,放出，排出，喷出，发放，处理
ほうじる,報じる,报答，报告，通知，报导
ぼうしをかぶる,帽子をかぶる,戴帽子
ぼうしをぬぐ,帽子を脱ぐ,摘掉帽子
ほうしん,方針,方针，磁针
ぼうすい,防水,防水
ほうずる,報ずる,报，报答；报告，报知
ほうせき,宝石,宝石
ぼうせき,紡績,纺纱，纺织，纱
ぼうぜん,呆然,渺茫，模糊，不知所措，惘然，茫然若失；呆若木鸡，发呆，发愣；茫然
ぼうぜん,茫然,渺茫，模糊，不知所措，惘然，茫然若失；呆若木鸡，发呆，发愣；茫然
ほうそう,包装,包装
ほうそう,放送,广播
ほうそく,法則,法则，规律，定律
ほうたい,包帯,绷带
ぼうだい,膨大,庞大，膨胀，肿胀，肿大
ほうち,放置,放置，置之不理，置诸不顾
ほうちょう,包丁,菜刀，切菜刀，烹调，烹饪，刀工
ぼうちょう,膨張,膨胀，增加，扩大发展
ほうてい,法廷,法庭
ほうていしき,方程式,方程
ほうどう,報道,报道，报导
ぼうとう,冒頭,起首，开头
ぼうどう,暴動,暴动
ほうにち,訪日,访日，访问日本
ぼうはん,防犯,防止犯罪
ほうび,褒美,奖赏，奖品，赏钱
ほうふ,豊富,丰富
ぼうふう,暴風,暴风
ほうほう,方法,方法，法子，办法
ほうぼう,方方,各处，各方，到处；各位，诸位，这个那个，种种
ほうぼう,方々,各处，各方，到处；各位，诸位，这个那个，种种
ほうむる,葬る,埋葬，葬埋，葬送，弃而不顾，掩蔽
ほうめん,方面,方面，方向，领域，地区
ほうもん,訪問,访问，来访，拜访
ほうもんぎ,訪問着,会客和服
ぼうや,坊や,小朋友，小宝宝，你，儿子；（对男孩子的爱称）小弟弟
ほうりこむ,放り込む,投入，扔进去
ほうりだす,放り出す,抛出去，扔出去；抛弃，放弃，丢开
ほうりつ,法律,法律
ぼうりょく,暴力,暴力，武力
ほうる,放る,抛，扔；放着不管，弃置不顾，丢开
ほうわ,飽和,饱和，极限，最大限度，极限
ほえる,吠える,叫，（兽，风等）吼，咆哮，（狗）吠叫
ほお,頬,颊，脸蛋（儿），脸蛋子
ボーイ,boy,男孩儿，男孩，少年，童子，男服务员，服务员，男性侍者
ホース,hoos,（荷）软管，胶皮管，蛇管
ポーズ,pause,暂停
ポーズ,pose,姿势
ボート,boat,小船，小艇，船
ボーナス,bonus,奖金，额外津贴，期末津贴，红利
ホーム,home,家，本垒；站台，月台
ボーリング,bowling,保龄球
ホール,hall,大厅，集会场
ホール,hole,孔，穴
ボール,ball,球；（棒球）坏球
ボール,bowl,大碗
ボールペン,ball pen,圆珠笔，原子笔
ほおん,保温,保温
ほか,他,别处，别的地方，外部，外地，别的，另外的，其他；（下接否定语）除了，除去
ほか,外,别处，别的地方，外部，外地，别的，另外的，其他；（下接否定语）除了，除去
ほかく,捕獲,捕获
ほがらか,朗らか,明朗，开朗，爽快，嘹亮，舒畅，快活，晴朗
ほかん,保管,保管
ほきゅう,補給,补给，补充，供给，供应
ほきょう,補強,加强，增强，强化
ぼきん,募金,募捐
ぼく,僕,我（男用）
ぼくし,牧師,牧师
ぼくじょう,牧場,牧场，牧地
ぼくちく,牧畜,畜牧，牧畜
ほげい,捕鯨,捕鲸
ポケット,pocket,口袋，（衣服的）衣袋，衣兜，兜儿
ぼける,呆ける,发呆
ぼける,惚ける,精神恍惚，懵懂，昏聩，模糊；糊涂；着迷
ぼける,暈ける,模糊
ほけん,保健,保健，保护健康，保持健康
